ApplicantReceiverID,ApplicantID,ReceiverID,ApplicantPreference,ReceiverPoints
216,24,9,7,5
217,25,1,4,5
218,25,2,7,5
219,25,3,8,5
220,25,4,2,6
221,25,5,5,10
222,25,6,6,5
223,25,7,1,5
224,25,8,3,7
225,25,9,9,5
226,26,1,4,5
227,26,2,7,5
228,26,3,5,5
229,26,4,3,6
230,26,5,8,5
231,26,6,9,5
232,26,7,1,5
233,26,8,2,9
234,26,9,6,5
235,27,1,2,5
236,27,2,1,5
237,27,3,9,10
238,27,4,3,6
239,27,5,6,1
240,27,6,4,5
241,27,7,8,5
242,27,8,7,8
243,27,9,5,5
244,28,1,2,5
245,28,2,6,5
246,28,3,8,5
247,28,4,3,7
248,28,5,9,1
249,28,6,5,5
250,28,7,1,5
251,28,8,4,10
252,28,9,7,5
253,29,1,3,5
254,29,2,9,5
255,29,3,5,5
256,29,4,4,5
257,29,5,8,6
258,29,6,7,5
259,29,7,1,5
260,29,8,2,9
261,29,9,6,5
262,30,1,3,5
263,30,2,7,5
264,30,3,2,5
265,30,4,4,5
266,30,5,6,6
267,30,6,9,5
268,30,7,1,5
269,30,8,5,5
270,30,9,8,5
271,31,1,6,5
272,31,2,2,5
273,31,3,3,5
274,31,4,4,4
275,31,5,7,4
276,31,6,9,5
277,31,7,8,5
278,31,8,1,7
279,31,9,5,5
280,32,1,6,5
281,32,2,2,5
282,32,3,7,5
283,32,4,8,4
284,32,5,3,6
285,32,6,9,5
286,32,7,5,5
287,32,8,4,7
288,32,9,1,5
289,33,1,1,5
290,33,2,8,5
291,33,3,7,5
292,33,4,2,7
293,33,5,5,1
294,33,6,4,5
295,33,7,3,5
296,33,8,6,10
297,33,9,9,5
298,34,1,2,5
299,34,2,3,5
300,34,3,7,5
301,34,4,8,5
302,34,5,6,6
303,34,6,9,5
304,34,7,5,5
305,34,8,4,7
306,34,9,1,5
307,35,1,5,5
308,35,2,9,5
309,35,3,2,5
310,35,4,4,6
311,35,5,7,7
312,35,6,6,5
313,35,7,3,5
314,35,8,1,9
315,35,9,8,5
316,36,1,2,5
317,36,2,3,5
318,36,3,7,5
319,36,4,8,7
320,36,5,4,10
321,36,6,9,5
322,36,7,5,5
323,36,8,1,10
324,36,9,6,5
325,37,1,5,5
326,37,2,2,5
327,37,3,6,5
328,37,4,8,5
329,37,5,4,1
330,37,6,9,5
331,37,7,7,5
332,37,8,1,7
333,37,9,3,5
